description,filename
a menacing alien warrior with glowing purple armor and laser weapons,scifi_alien_warrior_001
a robotic assassin with red glowing eyes and metallic limbs,scifi_robot_assassin_002
a space pirate captain with a cybernetic eye patch and energy sword,scifi_space_pirate_003
a mutant creature from outer space with multiple tentacles and sharp teeth,scifi_mutant_creature_004
a futuristic soldier in powered exosuit carrying a plasma rifle,scifi_soldier_005
a mechanical steam-powered knight with brass armor and gear decorations,steampunk_knight_006
a victorian inventor wearing goggles and carrying strange contraptions,steampunk_inventor_007
a clockwork automaton with visible gears and steam vents,steampunk_automaton_008
a gentleman thief in top hat with mechanical arm attachments,steampunk_thief_009
a airship captain with leather jacket and brass telescope,steampunk_captain_010
a retro robot with boxy design and glowing antenna,retro_robot_011
a 1950s style alien invader with ray gun and flying saucer,retro_alien_012
a chrome-plated hero in streamlined retro spacesuit,retro_hero_013
a pulp sci-fi villain with cape and atomic device,retro_villain_014
a art deco styled android with sleek metallic finish,retro_android_015
a terrifying zombie with rotting flesh and glowing eyes,horror_zombie_016
a demonic creature with horns and burning red skin,horror_demon_017
a ghostly specter wrapped in tattered chains and shadows,horror_ghost_018
a vampiric count with fangs and flowing dark cape,horror_vampire_019
a possessed doll with cracked porcelain face and evil grin,horror_doll_020
a modern day hacker with hoodie and glowing laptop,modern_hacker_021
a street artist with spray paint cans and colorful outfit,modern_artist_022
a delivery driver robot with package compartment and wheels,modern_robot_023
a social media influencer with smartphone and trendy clothes,modern_influencer_024
a parkour runner in athletic gear leaping through the city,modern_runner_025
a cyberpunk mercenary with neon mohawk and plasma blade,scifi_mercenary_026
a insectoid alien scientist with multiple eyes and lab equipment,scifi_scientist_027
a gravity-defying telekinetic with floating debris around them,scifi_telekinetic_028
a crystalline being from another dimension glowing with energy,scifi_crystal_being_029
a genetically enhanced super soldier with bio-augmentations,scifi_super_soldier_030
a brass golem powered by steam and clockwork mechanisms,steampunk_golem_031
a mad scientist with wild hair and bubbling chemical apparatus,steampunk_scientist_032
a mechanical spider with eight jointed legs and brass body,steampunk_spider_033
a steam-powered cowboy with gear-decorated revolver,steampunk_cowboy_034
a clockwork ballerina in intricate mechanical dress,steampunk_ballerina_035
a raygun-wielding astronaut in bubble helmet spacesuit,retro_astronaut_036
a chrome rocket ranger with jet pack and laser pistol,retro_ranger_037
a atomic age monster awakened by radiation,retro_monster_038
a space age detective in silver trench coat,retro_detective_039
a retro flying saucer pilot with antenna headgear,retro_pilot_040
a werewolf mid-transformation with claws and fangs,horror_werewolf_041
a creepy clown with sinister smile and balloon animals,horror_clown_042
a skeletal reaper wielding a glowing scythe,horror_reaper_043
a monstrous creature emerging from dark shadows,horror_shadow_creature_044
a cursed knight in corrupted black armor,horror_cursed_knight_045
a tech startup CEO with smart glasses and tablet device,modern_ceo_046
a esports gamer with RGB headphones and energy drink,modern_gamer_047
a food truck chef with colorful apron and serving utensils,modern_chef_048
a drone operator piloting multiple flying devices,modern_drone_operator_049
a fitness influencer in athletic wear with water bottle,modern_fitness_050
a plasma-wielding bounty hunter with scarred armor,scifi_bounty_hunter_051
a telepathic alien with enlarged cranium and psychic aura,scifi_telepath_052
a nano-tech enhanced ninja with glowing circuitry,scifi_nano_ninja_053
a void walker phasing between dimensions,scifi_void_walker_054
a bio-mechanical hybrid half-organic half-machine,scifi_hybrid_055
a steam locomotive engineer covered in soot and grease,steampunk_engineer_056
a mechanical fortune teller with spinning brass gears,steampunk_fortune_teller_057
a airship mechanic with tool belt and wrench,steampunk_mechanic_058
a brass dragon automaton with clockwork wings,steampunk_dragon_059
a steam-powered pugilist with mechanical fists,steampunk_boxer_060
a space cadet in retro training uniform with laser rifle,retro_cadet_061
a vintage robot butler with serving tray,retro_butler_062
a atomic rocket pilot in sleek flight suit,retro_rocket_pilot_063
a chrome superhero with cape and chest emblem,retro_superhero_064
a alien ambassador in retro diplomatic attire,retro_ambassador_065
a banshee wailing spirit with flowing ghostly hair,horror_banshee_066
a flesh golem stitched together from body parts,horror_flesh_golem_067
a witch with bubbling cauldron and spell book,horror_witch_068
a mummy wrapped in ancient bandages with glowing eyes,horror_mummy_069
a gargoyle with stone wings and sharp talons,horror_gargoyle_070
a cryptocurrency trader with multiple monitors,modern_crypto_trader_071
a electric scooter commuter in casual business attire,modern_commuter_072
a podcast host with microphone and headphones,modern_podcaster_073
a vegan activist with protest sign and megaphone,modern_activist_074
a ride-share driver with friendly smile and phone mount,modern_driver_075
a quantum physicist in lab coat manipulating particles,scifi_physicist_076
a cyborg enforcer with weapon implants,scifi_enforcer_077
a alien merchant selling strange exotic goods,scifi_merchant_078
a hologram AI assistant with translucent projection,scifi_ai_079
a gene-spliced chimera creature with mixed animal features,scifi_chimera_080
a dirigible pirate with cutlass and brass telescope,steampunk_pirate_081
a mechanical owl with rotating head and gear wings,steampunk_owl_082
a steam-powered strong man with hydraulic muscles,steampunk_strongman_083
a clockwork assassin with hidden blade mechanisms,steampunk_assassin_084
a brass automaton street performer,steampunk_performer_085
a bubble-helmeted space explorer with oxygen tank,retro_explorer_086
a tin robot with wind-up key and antenna,retro_tin_robot_087
a moon base commander in classic spacesuit,retro_commander_088
a retro alien with big head and flying saucer,retro_grey_alien_089
a atomic age scientist with radiation suit,retro_atomic_scientist_090
a spectral phantom floating through walls,horror_phantom_091
a plague doctor with beaked mask and medical bag,horror_plague_doctor_092
a spider demon with eight eyes and web spinning,horror_spider_demon_093
a headless horseman carrying flaming pumpkin,horror_horseman_094
a possessed scarecrow with straw body and evil grin,horror_scarecrow_095
a barista making artisan coffee with latte art,modern_barista_096
a mobile game developer coding on laptop,modern_dev_097
a urban gardener tending rooftop vegetables,modern_gardener_098
a youtube content creator with camera rig,modern_creator_099
a tattoo artist with ink gun and sketches,modern_tattoo_artist_100
a mech pilot interfaced with giant robot,scifi_mech_pilot_101
a android butler with pristine white chassis,scifi_android_102
a psionic warrior with glowing mind powers,scifi_psionic_103
a space marine in heavy combat armor,scifi_marine_104
a alien smuggler with contraband cargo,scifi_smuggler_105
a steam-powered circus acrobat with mechanical trapeze,steampunk_acrobat_106
a gear-headed inventor tinkering with devices,steampunk_tinkerer_107
a brass submersible captain with diving suit,steampunk_submariner_108
a mechanical magician with trick contraptions,steampunk_magician_109
a clockwork detective with magnifying monocle,steampunk_detective_110
a ray gun scientist in retro lab coat,retro_ray_scientist_111
a chrome jet pack hero soaring through sky,retro_jetpack_hero_112
a retro martian invader with heat ray,retro_martian_113
a space princess in flowing cosmic gown,retro_princess_114
a atomic robot with nuclear power core,retro_atomic_robot_115
a creepy ventriloquist dummy coming to life,horror_dummy_116
a shadow assassin melting into darkness,horror_shadow_assassin_117
a cursed pirate ghost with spectral ship,horror_pirate_ghost_118
a demon spawn with horns and tail emerging from portal,horror_demon_spawn_119
a eldritch horror with tentacles and multiple mouths,horror_eldritch_120
a sneaker collector with limited edition kicks,modern_sneakerhead_121
a environmental scientist with testing equipment,modern_scientist_122
a meditation instructor in peaceful yoga pose,modern_instructor_123
a graffiti artist with spray cans and stencils,modern_graffiti_124
a rideshare bike mechanic repairing vehicles,modern_mechanic_125
a terraformer reshaping alien planets,scifi_terraformer_126
a void space pirate raiding cargo ships,scifi_void_pirate_127
a bio-engineer growing synthetic organisms,scifi_bioengineer_128
a star pilot navigating through asteroid fields,scifi_star_pilot_129
a exo-suit loader operator moving heavy cargo,scifi_loader_130
a steam train conductor in brass uniform,steampunk_conductor_131
a mechanical chess master with calculating gears,steampunk_chess_master_132
a brass telescope astronomer studying stars,steampunk_astronomer_133
a steam-powered gladiator in arena combat,steampunk_gladiator_134
a clockwork toy soldier marching precisely,steampunk_toy_soldier_135
a bubble car driver in atomic age vehicle,retro_bubble_driver_136
a television repair robot with antenna sensors,retro_repair_bot_137
a space station janitor in maintenance suit,retro_janitor_138
a retro alien diplomat with translation device,retro_diplomat_139
a chrome plated guardian protecting ancient ruins,retro_guardian_140
a nightmarish creature from darkest dreams,horror_nightmare_141
a possessed priest with corrupted holy symbols,horror_possessed_priest_142
a swamp monster rising from murky waters,horror_swamp_monster_143
a blood-thirsty vampire hunter turned vampire,horror_dhampir_144
a ancient evil awakened from thousand year slumber,horror_ancient_evil_145
a electric vehicle designer with holographic blueprints,modern_ev_designer_146
a plant-based chef creating innovative dishes,modern_plant_chef_147
a sustainability consultant with eco solutions,modern_consultant_148
a vintage clothing curator with retro fashion,modern_curator_149
a urban explorer documenting abandoned places,modern_explorer_150
a nano-surgeon performing microscopic operations,scifi_nanosurgeon_151
a gravity manipulator bending space-time,scifi_gravity_master_152
a energy being composed of pure plasma,scifi_energy_being_153
a synth human indistinguishable from organic life,scifi_synth_154
a dimensional traveler jumping between realities,scifi_jumper_155
a brass kraken mechanical sea monster,steampunk_kraken_156
a steam-powered sheriff maintaining order,steampunk_sheriff_157
a mechanical bird messenger delivering letters,steampunk_messenger_158
a gear-work librarian organizing knowledge,steampunk_librarian_159
a brass diving bell explorer of ocean depths,steampunk_diver_160
a rocket ranger patrolling the solar system,retro_rocket_ranger_161
a chrome android companion with friendly face,retro_companion_162
a space age architect designing cosmic cities,retro_architect_163
a retro laser gunner defending earth,retro_gunner_164
a atomic age hero with radiation powers,retro_atomic_hero_165
